,Community Area,Count_Crime,Community Area Number,Count_School,population,crime_per_capita,Ln_ACT_Score_plus,log_crime_per_capita,log_Count_School
0,1,2940,1,6,55062,0.05339435545385202,0.4662135558050255,-2.930050241714341,1.791759469228055
1,2,2750,2,9,76215,0.036082136062454896,0.3141459579921142,-3.321957382035325,2.1972245773362196
2,3,2635,3,5,57973,0.045452193262380765,0.41211438754952984,-3.091094202924925,1.6094379124341003
3,4,1666,4,5,41715,0.03993767230013185,0.5747129279159566,-3.220435232609387,1.6094379124341003
4,5,1002,5,7,35789,0.027997429377741766,0.8959850561207957,-3.5756425809593337,1.9459101490553132
5,6,3851,6,11,100470,0.038329849706380016,0.26671426089417305,-3.261526320641451,2.3978952727983707
6,7,2524,7,7,67710,0.03727662088317826,0.44542141518260575,-3.289388934818587,1.9459101490553132
7,8,6601,8,6,88893,0.0742578155760296,0.47602921573931484,-2.600212246555576,1.791759469228055
8,9,205,9,2,11605,0.017664799655320983,0.0,-4.036181339570129,0.6931471805599453
9,10,839,10,8,37089,0.022621262368896437,0.3673952402581996,-3.7888650022078307,2.0794415416798357
10,11,831,11,2,26808,0.030998209489704567,0.0,-3.473825834561698,0.6931471805599453
11,12,456,12,3,19019,0.023976023976023976,0.0,-3.730700948967275,1.0986122886681098
12,13,682,13,5,18842,0.03619573293705551,1.2915798631078328,-3.318814041765151,1.6094379124341003
13,14,1815,14,8,51992,0.03490921680258501,0.3519260899278387,-3.3550043928752338,2.0794415416798357
14,15,2307,15,7,64307,0.03587478812570949,0.39873787254467385,-3.32772051082336,1.9459101490553132
15,16,1958,16,8,54606,0.03585686554591071,0.31215585504027754,-3.328220222714955,2.0794415416798357
16,17,1182,17,6,43689,0.027054865069010507,0.49421217767821374,-3.6098884351846467,1.791759469228055
17,18,494,18,1,13830,0.03571945046999277,0.0,-3.3320599074708817,0.0
18,19,3353,19,12,79910,0.04195970466775122,0.4815200321311843,-3.17104553390228,2.4849066497880004
19,20,1072,20,4,24144,0.04440026507620941,0.6915797773065465,-3.114509839376883,1.3862943611198906
20,21,1608,21,4,37368,0.04303147077713552,0.0,-3.1458235524430322,1.3862943611198906
21,22,3322,22,11,73046,0.045478191824329876,0.0,-3.0905223684906424,2.3978952727983707
22,23,6037,23,12,56427,0.10698778953337941,0.4289308159092746,-2.2350405675424883,2.4849066497880004
23,24,4736,24,15,84502,0.0560460107453078,0.27818002220281696,-2.881582305140379,2.70805020110221
24,25,11426,25,17,95260,0.11994541255511232,0.6001810268838138,-2.1207185350704436,2.833213344056216
25,26,4496,26,5,17163,0.2619588650002913,0.0,-1.3395677913631114,1.6094379124341003
26,27,3364,27,10,19996,0.16823364672934588,0.6328391797895307,-1.7824015114406222,2.302585092994046
27,28,5811,28,11,62872,0.09242588115536328,0.7456199414951454,-2.3813482404709054,2.3978952727983707
28,29,6363,29,12,35947,0.1770105989373244,0.1755876684601561,-1.7315456671992708,2.4849066497880004
29,30,3224,30,20,74851,0.04307223684386314,0.7767798386177404,-3.144876646185451,2.995732273553991
30,31,1815,31,11,32888,0.05518730235952323,0.25648898967356487,-2.897022381878763,2.3978952727983707
31,32,4692,32,1,35880,0.13076923076923078,3.250374491927572,-2.0343211063993665,0.0
32,33,1404,33,3,23620,0.05944115156646909,0.0,-2.822768505165597,1.0986122886681098
33,34,766,34,3,13455,0.05693050910442215,0.0,-2.865923893420415,1.0986122886681098
34,35,1932,35,7,20781,0.09296953948318175,0.767145463564453,-2.3754833719182513,1.9459101490553132
35,36,553,36,1,6645,0.08322046651617758,0.0,-2.486261969625011,0.0
36,37,618,37,1,2439,0.25338253382533826,0.0,-1.3728549407582296,0.0
37,38,2646,38,6,22313,0.1185855779142204,0.7210596541985015,-2.132120402559602,1.791759469228055
38,39,1068,39,5,17189,0.062132759322822737,0.8669675357426639,-2.7784819038080166,1.6094379124341003
39,40,1756,40,3,11502,0.15266910102590853,0.541610040220442,-1.8794824380786377,1.0986122886681098
40,41,1315,41,4,26827,0.04901778059417751,0.0,-3.0155721774237123,1.3862943611198906
41,42,2607,42,6,23268,0.11204228984012378,0.3511753369203122,-2.18887889109715,1.791759469228055
42,43,7007,43,7,50418,0.13897814272680392,0.30381861215773154,-1.9734386047857393,1.9459101490553132
43,44,4944,44,9,31120,0.1588688946015424,0.3161010426466008,-1.8396759791548012,2.1972245773362196
44,45,1081,45,3,9985,0.10826239359038557,0.9092842761327966,-2.223197428210707,1.0986122886681098
45,46,3022,46,7,28263,0.10692424724905353,0.39338010176489463,-2.235634664884093,1.9459101490553132
46,47,314,47,1,2254,0.13930789707187222,0.0,-1.9710687086914682,0.0
47,48,1121,48,5,13188,0.08500151653017896,0.0,-2.4650861811194615,1.6094379124341003
48,49,5377,49,12,42433,0.12671741333396178,0.6596327863589881,-2.0657957635773117,2.4849066497880004
49,50,828,50,5,6613,0.12520792378648118,0.545570565679678,-2.0777795332894025,1.6094379124341003
50,51,1482,51,3,14614,0.10140960722594772,0.0,-2.288587446495131,1.0986122886681098
51,52,850,52,5,23737,0.03580907444074651,0.560672076181307,-3.32955394169659,1.6094379124341003
52,53,3472,53,7,27742,0.12515319731814578,0.0,-2.0782167135429948,1.9459101490553132
53,54,959,54,4,7394,0.12969975655937246,0.7197996143245099,-2.042533064613139,1.3862943611198906
54,55,440,55,2,9418,0.046719048630282436,0.0,-3.063603303891193,0.6931471805599453
55,56,1378,56,5,36396,0.03786130343993845,0.5712940412440967,-3.2738257059029774,1.6094379124341003
56,57,626,57,2,13142,0.04763354131791204,1.4424003564233545,-3.0442181163577144,0.6931471805599453
57,58,1594,58,8,44813,0.03557003548077567,0.3619889922839725,-3.336251695530686,2.0794415416798357
58,59,664,59,4,15767,0.042113274560791523,0.0,-3.167392277761048,1.3862943611198906
59,60,1106,60,5,33637,0.0328804590183429,0.0,-3.414876748479715,1.6094379124341003
60,61,3217,61,13,39561,0.08131745911377367,0.4140152961945184,-2.5093945362367824,2.5649493574615367
61,62,638,62,3,19237,0.033165254457555755,0.9404596288030711,-3.4062525035613915,1.0986122886681098
62,63,1533,63,10,40873,0.037506422332591195,0.2714694743820879,-3.283243098467037,2.302585092994046
63,64,737,64,4,25891,0.0284654899385887,0.0,-3.5590628047620414,1.3862943611198906
64,65,1091,65,4,33108,0.03295276066207563,0.7267252649618439,-3.4126802381722157,1.3862943611198906
65,66,4422,66,7,53098,0.08327997288033448,0.0,-2.4855471803198754,1.9459101490553132
66,67,5168,67,9,29929,0.17267533161816298,0.4521938298532191,-1.7563421435331201,2.1972245773362196
67,68,4691,68,12,25075,0.18707876370887339,0.48498678580981114,-1.6762255545016782,2.4849066497880004
68,69,5347,69,9,31766,0.1683246238116225,0.2714694743820879,-1.7818608794463686,2.1972245773362196
69,70,1665,70,8,43792,0.03802064303982462,0.3481264052797923,-3.269626028865916,2.0794415416798357
70,71,5617,71,9,46278,0.12137516746618264,0.0,-2.1088689726296215,2.1972245773362196
71,72,697,72,4,20822,0.0334742099702238,0.0,-3.3969799882741745,1.3862943611198906
72,73,2343,73,9,27453,0.08534586384001748,0.306667771114769,-2.461043292075692,2.1972245773362196
73,74,420,74,4,19277,0.021787622555376873,0.7658477305069514,-3.8264132431201774,1.3862943611198906
74,75,1512,75,5,22394,0.06751808520139323,0.5867713739671807,-2.695359788080664,1.6094379124341003
75,76,991,76,1,12377,0.08006786781934233,0.0,-2.5248806562100343,0.0
76,77,2084,77,5,55965,0.037237559188778704,0.966999587025526,-3.29043737145011,1.6094379124341003
